DataYear,ID,PropertyName,ReportingStatus,Address,ZIPCode,ChicagoEnergyRating,ExemptFromChicagoEnergyRating,CommunityArea,PrimaryPropertyType,GrossFloorArea,YearBuilt,NumberOfBuildings,WaterUse,ENERGYSTARScore,ElectricityUse,NaturalGasUse,DistrictSteamUse,DistrictChilledWaterUse,AllOtherFuelUse,SiteEUI,SourceEUI,WeatherNormalizedSiteEUI,WeatherNormalizedSourceEUI,TotalGHGEmissions,GHGIntensity,Latitude,Longitude,Location,Row_ID,Wards,CommunityAreas,ZipCodes,CensusTracts,HistoricalWards2003-2015,GHGIntensityRank,GHGIntensityPercentileRank,TotalGHGEmissionsRank,TotalGHGEmissionsPercentileRank,ElectricityUseRank,ElectricityUsePercentileRank,NaturalGasUseRank,NaturalGasUsePercentileRank,GrossFloorAreaRank,GrossFloorAreaPercentileRank,SourceEUIRank,SourceEUIPercentileRank,SiteEUIRank,SiteEUIPercentileRank,GHGIntensityRankByPropertyType,TotalGHGEmissionsRankByPropertyType,ElectricityUseRankByPropertyType,NaturalGasUseRankByPropertyType,GrossFloorAreaRankByPropertyType,SourceEUIRankByPropertyType,SiteEUIRankByPropertyType
2021,260116,,Submitted,3812  S MICHIGAN AVE,60653,0.0,False,DOUGLAS,,71987.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,41.82021138,-87.61246867,"(41.82021138, -87.61246867)",2021-260116,10,4,4301.0,583,1,,,,,2638.5,0.021,2550.0,0.054,2146.0,0.204,,,,,,,30.0,30.0,45.0,,
2021,254094,,Submitted,3041 S Michigan Ave,60616,0.0,False,Douglas,,67133.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,41.8458598,-87.62921,"(41.8458598, -87.62921)",2021-254094,9,35,21194.0,3,12,,,,,2638.5,0.021,2550.0,0.054,2251.5,0.165,,,,,,,30.0,30.0,48.5,,
2021,105673,,Submitted,506  W HARRISON ST,60607,0.0,False,NEAR WEST SIDE,,92435.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,41.87399385,-87.651678,"(41.87399385, -87.651678)",2021-105673,48,29,14917.0,97,8,,,,,2638.5,0.021,2550.0,0.054,1779.0,0.34,,,,,,,30.0,30.0,31.0,,
2021,116644,,Submitted,60  E 36TH PL,60653,0.0,False,DOUGLAS,,93310.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,41.82021138,-87.61246867,"(41.82021138, -87.61246867)",2021-116644,10,4,4301.0,583,1,,,,,2638.5,0.021,2550.0,0.054,1768.0,0.344,,,,,,,30.0,30.0,30.0,,
2021,159425,Lawless Gardens,Submitted,3510 S RHODES AVE,60653,0.0,False,DOUGLAS,,740173.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,41.83083707,-87.61542242,"(41.83083707, -87.61542242)",2021-159425,10,1,4301.0,561,1,,,,,2638.5,0.021,2550.0,0.054,195.0,0.928,,,,,,,30.0,30.0,1.0,,
2021,240752,200 N. Dearborn CA,Submitted,200 N Dearborn St,60601,0.0,False,LOOP,Multifamily Housing,419953.0,1989.0,1,,,0.0,0.0,0.0,0.0,,,,,,,,41.88603988,-87.62982289,"(41.88603988, -87.62982289)",2021-240752,36,38,14309.0,92,22,,,,,2638.5,0.021,2550.0,0.054,429.0,0.841,,,,,,,1346.5,1329.5,208.0,,
2021,243703,The Newport CA,Submitted,4800 S Chicago Beach Dr,60615,0.0,False,KENWOOD,Multifamily Housing,842012.0,1963.0,2,,,0.0,0.0,0.0,0.0,,,,,,,,41.80656841,-87.58670323,"(41.80656841, -87.58670323)",2021-243703,10,5,21192.0,400,1,,,,,2638.5,0.021,2550.0,0.054,160.0,0.941,,,,,,,1346.5,1329.5,44.0,,
2021,244791,(IL0669) - Chandler,Submitted,450 E Waterside Dr,60601,4.0,False,LOOP,Multifamily Housing,628921.0,2007.0,1,,61,12050982.7,23409626.6,0.0,0.0,,74.4,122.4,78.1,125.3,2964.6,6.2,41.88716277,-87.61536682,"(41.88716277, -87.61536682)",2021-244791,36,38,14309.0,580,22,1408.0,0.45,357.0,0.861,430.0,0.841,202.0,0.925,245.0,0.909,1410.5,0.453,1267.5,0.508,529.5,116.0,140.0,105.0,90.0,527.5,562.0
2021,113745,The Sexton Condominium Association,Submitted,360 W Illinois St,60654,4.0,False,NEAR NORTH SIDE,Multifamily Housing,449107.0,1915.0,1,,97,8029855.4,4577299.5,0.0,0.0,,32.2,69.7,32.4,68.2,1390.0,3.6,41.89075805,-87.63753056,"(41.89075805, -87.63753056)",2021-113745,36,37,4446.0,652,22,2391.5,0.066,864.0,0.663,688.0,0.745,1436.0,0.468,388.0,0.856,2420.5,0.061,2506.5,0.027,1219.5,382.0,248.0,799.0,183.0,1237.0,1302.0
2021,101343,The Resurrection Project - Casa Morelos,Submitted,2015  S MORGAN ST,60608,4.0,False,LOWER WEST SIDE,Multifamily Housing,64644.0,2009.0,1,,90,1101240.1,1992554.0,0.0,0.0,,56.9,95.1,58.8,95.8,263.1,4.8,41.84915346,-87.67089596,"(41.84915346, -87.67089596)",2021-101343,26,33,14920.0,126,8,2039.0,0.204,2403.0,0.061,2266.0,0.16,2106.0,0.219,2310.0,0.143,2040.5,0.208,1959.5,0.24,961.5,1217.0,1099.0,1178.0,1145.0,960.0,964.5
